species,perkebunan_jati,hutan_gugur,hutan_lembab,savana
Duttaphrynus_melanostictus,0,2,0,0
Ingerophrynus_biporcatus,0,0,8,0
Fejervarya_cancrivora,0,10,0,0
Fejervarya_limnocharis,0,8,0,0
Fejervarya_sp,0,0,2,0
Occidozyga_sumatrana,0,9,0,0
Microhyla_orientalis,0,0,4,0
Microhyla_palmipes,0,0,9,0
Microhyla_sp,0,0,3,0
Chalcorana_chalconota,0,0,3,0
Bijurana_nicobariensis,0,0,2,0
Polypedates_leucomystax,0,25,30,2
Ahaetulla_prasina,0,0,1,0
Dendrelaphis_pictus,0,2,0,0
Psammophis_indochinensis,0,7,0,0
Cerberus_schneiderii,0,0,0,1
Bungarus_candidus,0,2,0,0
Malayopython_reticulatus,0,0,1,0
Trimeresurus_insularis,0,0,0,1
Draco_volans,0,0,1,1
Hemidactylus_platyurus,0,0,4,0
Cyrtodactylus_jatnai,0,0,0,28
Gehyra_mutilata,0,3,0,0
Gekko_gecko,0,0,7,0
Hemidactylus_frenatus,0,10,0,14
Cryptoblepharus_baliensis,0,7,0,0
Eutropis_multifasciata,0,0,0,46
Eutropis_rugifera,19,39,15,40
Tytthoscincus_temminckii,0,11,0,6
Varanus_salvator,0,0,2,0
